,words,sentiment
868,eerbied,[1]
869,eerlijk,[1]
870,eerlijkheid,[1]
871,eerste,[1]
872,eersteklas,[1]
873,eervol,[1]
874,eeuwig,[1]
875,effectief,[1]
876,effectiviteit,[1]
877,effen,[1]
878,efficiënt,[1]
879,egaal,[1]
880,egoïsme,[-1]
881,egoïstisch,[-1]
882,egoïstische,[-1]
883,eigenaardigheden,[-1]
884,eigenlijk,[1]
885,eigenwijs,[-1]
886,eigenzinnig,[-1]
887,eindeloos,[1]
888,eitje,[1]
889,elegant,[1]
890,elegante,[1]
891,elegantie,[1]
892,elektrificeren,[1]
893,eliminatie,[-1]
894,elitair,[1]
895,elitaire,[1]
896,elite,[1]
897,ellende,[-1]
898,eminent,[1]
899,empathie,[1]
900,energiek,[1]
901,eng,[-1]
902,engagement,[1]
903,engel,[1]
904,engte,[-1]
905,enorm,[1]
906,enough,[1]
907,enten,[-1]
908,enthousiasme,[1]
909,enthousiast,[1]
910,epidemie,[-1]
911,erbarmelijk,[-1]
912,eren,[1]
913,ergens,[-1]
914,erger,[-1]
915,ergeren,[-1]
916,ergernis,[-1]
917,ergert,[-1]
918,ernstig,[1]
919,eroderen,[-1]
920,erosie,[-1]
921,error,[-1]
922,ethisch,[1]
923,euforie,[1]
924,euvel,[-1]
925,evenknie,[1]
926,evenwicht,[1]
927,evenwichtige,[1]
928,exact,[1]
929,excentriciteit,[-1]
930,excentriek,[-1]
931,excuses,[-1]
932,excuus,[-1]
933,expert,[1]
934,exploderen,[-1]
935,exploitatie,[-1]
936,exploiteren,[-1]
937,explosie,[-1]
938,explosief,[-1]
939,extase,[1]
940,extreem,[-1]
941,extremisme,[-1]
942,extremisten,[-1]
943,extremistische,[-1]
944,faalt,[-1]
945,faam,[1]
946,fabriceren,[-1]
947,faciliteiten,[1]
948,failure,[-1]
949,fair,[1]
950,faith,[1]
951,fakkels,[-1]
952,falen,[-1]
953,fall,[-1]
954,false,[-1]
955,famous,[1]
956,fanatiek,[-1]
957,fanatisme,[-1]
958,fanfare,[1]
959,fans,[1]
960,fantasierijke,[1]
961,fantastisch,[1]
962,fascisme,[-1]
963,fascist,[-1]
964,fascistisch,[-1]
965,fast,[1]
966,fat,[-1]
967,fataal,[-1]
968,fatale,[-1]
969,fatsoen,[1]
970,fatsoenlijk,[1]
971,favoriet,[1]
972,fear,[-1]
973,feat,[1]
974,feest,[1]
975,feestelijk,[1]
976,feestelijke,[1]
977,feilloos,[1]
978,feliciteren,[1]
979,fenomenaal,[1]
980,fervent,[1]
981,fiasco,[-1]
982,fictie,[-1]
983,fictief,[-1]
984,fiction,[-1]
985,fier,[1]
986,figuurlijk,[1]
987,fijn,[1]
988,fijnere,[1]
989,fijnste,[1]
990,fine,[1]
991,flauw,[-1]
992,flexibel,[1]
993,flexibele,[1]
